"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"578",="6230","尼得科超眾","市","06/02","114","+0.5","+0.44","10","8.63","8.63","98.4","48.5","19.4","","","","","","","電腦及週邊設備業","永井 淳一","無"
"579",="6261","久元","櫃","06/02","76.6","+0.1","+0.13","10","12.8","12.85","98.4","30.9","18.2","","","有","有","","","半導體業","汪秉龍","蕭維唐"
"580",="5222","全訊","市","06/02","145","+9","+6.62","10","6.78","6.78","98.4","24","0.6","","","有","","","","半導體業","張全生","張全生"
"581",="4205","中華食","櫃","06/02","110.5","-0.5","-0.45","10","8.88","8.88","98.1","42.1","23.3","","","","","","","食品工業","陳冠呈","陳民生"
"582",="8039","台虹","市","06/02","46.8","-0.4","-0.85","10","20.9","20.91","97.9","24.8","18.5","有","","有","有","","","電子零組件業","孫達汶","江宗翰"
"583",="3090","日電貿","市","06/02","54.6","-0.2","-0.36","10","17.9","17.87","97.5","29.4","18.6","","","有","","","","電子零組件業","周煒凌","于耀國"
"584",="3491","昇達科","櫃","06/02","156","-0.5","-0.32","10","6.22","6.22","97","22.7","14.4","","","有","","","","通信網路業","陳淑敏","吳東義"
"585",="6223","旺矽","櫃","06/02","103","-2","-1.9","10","9.41","9.41","96.9","26.9","19.4","","","有","有","","","半導體業","葛長林","郭遠明"
"586",="1256","鮮活果汁-KY","市","06/02","286","+3","+1.06","10","3.38","3.38","96.8","12.4","9.7","","","","","","","食品工業","黃國晃","王明智"
"587",="2480","敦陽科","市","06/02","91","+0.1","+0.11","10","10.6","10.64","96.8","29.2","20.7","","","有","有","","","資訊服務業","梁修宗","梁修宗"
"588",="3048","益登","市","06/02","35.8","+0.6","+1.7","10","27","26.98","96.6","25.9","19.7","","","","","有","","電子通路業","曾禹旖","侯靖圻"
"589",="2114","鑫永銓","市","06/02","123","-0.5","-0.4","10","7.8","7.8","95.9","52.8","15.7","","","","","","","橡膠工業","林季進","林季佑"
"590",="2421","建準","市","06/02","38.1","-0.15","-0.39","10","25.1","25.09","95.6","41.6","21.7","","","有","","","","電子零組件業","洪慶昇","洪慶昇"
"591",="6763","綠界科技","櫃","06/02","560","-6","-1.06","10","1.71","1.71","95.5","26","0.2","","","有","","","","電子商務","林雪慧","黃華勇"
"592",="8462","柏文","市","06/02","123","+0.5","+0.41","10","7.75","7.75","95.3","16.7","6.2","","","","有","","","觀光事業","陳尚義","陳尚文"
"593",="2753","八方雲集","市","06/02","144","+3.5","+2.49","10","6.6","6.6","95.1","22.4","0.7","","","有","","","","觀光事業","林欣怡","張瑞蓮"
"594",="2476","鉅祥","市","06/02","50.1","-0.2","-0.4","10","19","18.98","95.1","47.3","20.7","","","有","","","","電子零組件業","林於晃","林映碩"
"595",="6643","M31","櫃","06/02","300","-5","-1.64","10","3.16","3.16","94.8","10.6","3.4","","","有","","","","半導體業","陳慧玲","張原熏"
"596",="5531","鄉林","市","06/02","9.69","-0.14","-1.42","10","97.8","97.76","94.7","32","21","","","","有","","","建材營造業","賴正鎰","賴正鎰"
"597",="4104","佳醫","市","06/02","67.1","-0.7","-1.03","10","14.1","14.11","94.7","34.2","21","","","","","","","生技醫療業","傅輝東","張明正"
"598","00795B","中信美國公債20年","櫃","06/02","34.9","+0.3","+0.87","","","27.11","94.6","","3.2","","","","","","","N/A","",""
"599",="3530","晶相光","市","06/02","120.5","-1.5","-1.23","10","7.82","7.81","94.1","18","3.9","","","有","","","","半導體業","何新平","何新平"
"600",="8044","網家","櫃","06/02","73.2","-0.6","-0.81","10","12.9","12.85","94.1","23.9","17.4","有","","有","有","有","","電子商務","詹宏志","蔡凱文"
